City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Touros,BR,-5.1989,-35.4608,77.47,81,11,17.16,few clouds
115,Nioki,CD,-2.7167,17.6833,78.35,37,99,1.68,overcast clouds
116,Vizinga,RU,61.0749,50.1031,64.15,89,60,2.3,broken clouds
117,Upernavik,GL,72.7868,-56.1549,38.86,84,55,3.69,broken clouds
118,Miri,MY,4.4148,114.0089,75.34,83,20,10.36,few clouds
119,Carnarvon,AU,-24.8667,113.6333,60.13,64,0,18.32,clear sky
120,Nacala,MZ,-14.5428,40.6728,68.49,78,0,3.42,clear sky
121,Padang,ID,-0.9492,100.3543,76.26,86,100,3.89,light rain
122,Tuatapere,NZ,-46.1333,167.6833,33.64,93,89,4.43,overcast clouds
123,Iqaluit,CA,63.7506,-68.5145,49.73,71,20,3.44,few clouds
124,Wuning,CN,29.2589,120.2311,82.04,81,100,1.48,overcast clouds
125,Kilindoni,TZ,-7.9139,39.6668,76.21,71,3,14.94,clear sky
126,Odienne,CI,9.51,-7.5692,72.84,94,61,4.65,broken clouds
127,Adre,TD,13.4667,22.2,85.57,29,42,8.1,scattered clouds
128,Alofi,NU,-19.0595,-169.9187,75.09,83,85,16.11,overcast clouds
129,Matara,LK,5.9485,80.5353,78.51,86,100,15.37,light rain
130,Moissala,TD,8.3404,17.7663,73.4,84,100,2.33,overcast clouds
131,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,5.75,mist
132,Pochutla,MX,15.7432,-96.4661,91.81,60,100,6.2,overcast clouds
133,Pangnirtung,CA,66.1451,-65.7125,50.0,81,20,10.36,few clouds
134,Cidreira,BR,-30.1811,-50.2056,64.87,84,100,8.93,moderate rain
135,Alakurtti,RU,66.9672,30.3491,57.33,97,37,3.04,light rain
136,Udomlya,RU,57.8794,34.9925,60.42,97,100,4.29,overcast clouds
137,Lafia,NG,8.4833,8.5167,77.58,83,99,4.23,overcast clouds
138,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,11.5,light rain
139,Manta,EC,-0.95,-80.7333,78.58,73,75,9.22,broken clouds
140,Jiaonan,CN,35.8786,119.9753,75.45,95,4,5.73,clear sky
141,Kotovo,RU,50.3211,44.8012,77.05,41,100,18.79,overcast clouds
142,Coolum Beach,AU,-26.5333,153.1,49.23,86,3,8.59,clear sky
143,Naron,ES,43.5167,-8.1528,71.6,82,25,1.81,scattered clouds
144,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,69,0,21.85,clear sky
145,Bredasdorp,ZA,-34.5322,20.0403,49.53,86,55,4.94,broken clouds
146,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,56,8.99,broken clouds
147,Eureka,US,40.8021,-124.1637,72.19,75,18,3.0,few clouds
148,Fomboni,KM,-12.28,43.7425,76.75,70,12,11.88,few clouds
149,Pandan,PH,14.0453,124.1694,80.62,84,89,4.52,overcast clouds
150,Sur,OM,22.5667,59.5289,83.28,79,100,18.28,overcast clouds
151,Aksha,RU,50.2814,113.2867,49.6,78,37,2.55,scattered clouds
152,Okha,RU,53.5739,142.9478,65.86,86,100,11.03,overcast clouds
153,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,79,62,13.65,broken clouds
154,Kaputa,ZM,-8.4689,29.6619,67.21,47,5,2.06,clear sky
155,La Libertad,EC,-2.2333,-80.9,71.26,78,100,11.5,overcast clouds
156,Pinczow,PL,50.5205,20.5265,55.62,84,100,8.59,overcast clouds
157,Labuhan,ID,-6.8844,112.2051,75.72,86,16,6.44,few clouds
158,Klaksvik,FO,62.2266,-6.589,52.72,91,82,19.89,broken clouds
159,Minab,IR,27.1467,57.0801,89.92,74,100,2.3,overcast clouds
160,Ketchikan,US,55.3422,-131.6461,55.87,94,100,29.93,mist
161,Kondinskoye,RU,59.6481,67.41,68.61,81,38,6.44,light rain
